positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length,percentage_of_personal_pronouns,Percentage_of_complex_words_three_syllables
0,0,0.0,0.0,18,0.21052631578947367,7.284210526315789,19,19,19,29,0,4.631578947368421,0.0,0.15789473684210525
7,2,0.5555554938271674,0.024390243783462225,203,0.4975609756097561,81.39902439024391,205,205,205,449,2,6.404878048780488,0.00975609756097561,0.43902439024390244
3,0,0.9999996666667778,0.2499999791666684,11,0.3333333333333333,4.533333333333334,12,12,12,20,0,5.333333333333333,0.0,0.25
0,0,0.0,0.0,11,0.18181818181818182,4.472727272727273,11,11,11,19,0,5.454545454545454,0.0,0.09090909090909091
3,0,0.9999996666667778,0.17647057785467188,16,0.23529411764705882,6.4941176470588236,17,17,17,26,0,4.705882352941177,0.0,0.17647058823529413
8,1,0.7777776913580343,0.028340080856922748,243,0.3522267206477733,97.34089068825911,247,247,247,487,9,6.153846153846154,0.03643724696356275,0.2631578947368421
0,1,-0.9999990000010001,-0.00970873776981808,99,0.32038834951456313,39.728155339805824,103,103,103,202,4,5.932038834951456,0.038834951456310676,0.24271844660194175
0,0,0.0,0.0,52,0.24074074074074073,20.8962962962963,54,54,54,97,2,5.648148148148148,0.037037037037037035,0.16666666666666666
1,0,0.9999990000010001,0.041666664930555625,23,0.20833333333333334,9.283333333333333,24,24,24,33,1,4.375,0.041666666666666664,0.125
0,0,0.0,0.0,13,0.07142857142857142,5.228571428571429,14,14,14,19,1,4.0,0.07142857142857142,0.07142857142857142
1,0,0.9999990000010001,0.05882352595155729,16,0.17647058823529413,6.470588235294118,17,17,17,21,1,3.9411764705882355,0.058823529411764705,0.17647058823529413
1,0,0.9999990000010001,0.07692307100591762,12,0.3076923076923077,4.923076923076923,13,13,13,23,0,5.0,0.0,0.23076923076923078
